serialNum,uniqueCode,userName
374,APKRDLS138,SIRI VIGNESWARA TRADERS
375,APKRDLS14,SRI VENKATESWARA CEMENT CONCRETE PRODUCTS
376,APKRDLS141,SRI MANIKANTA SUPPLIERS TRADERS
377,APKRDLS142,SATTAR AGENCIES
378,APKRDLS28,SRI ESWARA SAWMILL  AGENCIES
379,APKRDLS34,SREE ANNAPURNA ENTERPRISES
380,APKRDLS42,SRI VINAYAKA TRADERS
381,APKRDLT05,TEJA CENTRING AND DEVELOPERS
382,APKRDLU01,UMA TRADERS
383,APKRDLV07,VIJAY TRADERS
384,APKRDLV10,VIJAYA DURGA ELECTRICALS
385,APKRDLV22,VARDHAN TRADERS
386,APKRDLV23,VENKATA SAI BABA TRADERS
387,APKRDLK04,KARTHIKEYA ENTERPRISES
388,APKRDLY04,YODHA GROUPS
389,APKRDLV18,VIJAYALAKSHMI IRON STORES
390,APGUDLY03,YASIN ENTERPRISES
391,APGUDLK09,KARTHIKEYA ENTERPRISES
392,APGUDLB01,BHAVANISHANKAR ENTEPRISES
393,APGUDLS142,SADINENI SRINIVAS CEMENT IRON & HARDWARE
394,APGUDLS141,SAI MANIKANTA BALAJI ENTERPRISES
395,APGUDLV19,VYSHNAVI TRADERS
396,APKRDLS139,SRI HANUMAN AGENICES
397,APKRDLS122,SRI VENKATA SIVA SAIRAMAAGENCIES
398,APNEDLA02,A.N.R. CEMENT & STEELS
399,APNEDLB04,BALAJISTEELS& CEMENTS
400,APNEDLB05,BALAJI STORES
401,APNEDLC02,C V R TRADERS
402,APNEDLI02,ISKA INFRAS
403,APNEDLK08,KONERU STEELS AND CEMENTS
404,APNEDLK11,K M STEEL & CEMENT
405,APNEDLK12,KNR TRADERS
406,APNEDLN03,Nagarjuna Steels
407,APNEDLR10,RAJA STEELS AND CEMENTS
408,APNEDLS52,SREE VARMA STEELS & CEMENTS
409,APNEDLS54,SRI BALAJI STEELS & CEMENTS.
410,APNEDLS73,SRI BALAJI ENTERPRISES
411,APNEDLS66,M/S SAI DEEPTHI AGENCIES
412,APNEDLS75,SRI CENCHU VENKATALAKSHMI TRADERS
413,APNEDLS77,SRI ANJANEYA AGENCIES
414,APNEDLV10,VIGNESWARA ENTERPRISES
415,APNEDLS76,SRI SRINIVASA AGENCIES
416,APNEDLN06,NITEESH ENTERPRISES
417,APNEDLS18,SRI SRINIVASA CEMENT STEEL
418,APNEDLB03,BASHA TRADERS 
419,APNEDLS74,SRI LAKSHMI VENKATESWARA INDUSTRIES 
420,APPRDLA08,ALI TRADERS
421,APPRDLG01,GOPAL STEEL SYNDICATE
422,APPRDLJ02,JAYALAKSHMI IRON CEMENTS
423,APPRDLK11,KAKARAPARTHI SAMBASIVARAO NEW
424,APPRDLL04,LAKSHMI NARAYANA TRADERS
425,APPRDLL05,LALITHA SAI TRADERS
426,APPRDLM05,Mubark Agencies
427,APPRDLM08,MADHAVI GENERAL STORES
428,APPRDLM12,MAHALAKSHMI STEEL TRADERS
429,APPRDLM13,MASTHAN BABA TRADERS
430,APPRDLP07,PRASANNANJANEYA TRADERS
431,APPRDLP09,PRAVEEN TRADERS
432,APPRDLR05,RAFI TRADERS
433,APPRDLS08,SRI SATYNARAYANA FERTILIZERS
434,APPRDLS14,SRI SAI VIGNESWARA STEEL ENTERPRISES
435,APPRDLS37,SRI SAI MARUTI BUILDING MATERIALS
436,APPRDLS47,SRI DURGA TRADERS
437,APPRDLS48,SRI SAI CEMENT AGENCIES
438,APPRDLS62,SRI PADMA TRADERS
439,APPRDLS64,SRI SUBRAMANYESWARA FERTILISERS
440,APPRDLS67,SRI LAKSHMI NARASIMHA TRADERS
441,APPRDLS73,SRI SAI RAMBABU TRADERS MUNDLAMURU
442,APPRDLS76,SRI YOGANANDA LAKSHMI NARASIMHA SWAMY TRADERS
443,APPRDLS80,SHANMUKHA TRADERS
444,APPRDLS81,SRI SAI SIRISHA TRADERS
445,APPRDLS83,Sri Venkata Ramana Traders
446,APPRDLS85,SREE LAKSHMI PRASHANNA TRADERS
447,APPRDLS86,SRI BALAJI TRADERS
448,APPRDLS87,SRI PRASANNA TRADERS
449,APPRDLS88,SRI SRINIVASA FERTILISERS
450,APPRDLS89,SAI HARSHA TRADERS
451,APPRDLS91,SRI PALANI AGENCIES
452,APPRDLS92,SRI LAKSHMI TRADERS
453,APPRDLS93,SRI VENKATESWARA IRON AND HARDWARES
454,APPRDLS95,SRI SAI GANESH IRON AND CEMENT
455,APPRDLV07,VENKATA SAI TRADERS
456,APPRDLV09,VIJAYA TRADERS
457,APPRDLV10,VENGAMAMBA IRON AND HARDWARE
458,APANDLA03,AKSHAY HARDWARE & CEMENT
459,APANDLG01,GUDEKOTA ENTERPRISE
460,APANDLG02,Gangabhavani Traders
461,APANDLK03,KRISHNA TRDERS
462,APANDLL03,LAKSHMI NARAYANA TRADERS
463,APANDLL05,LAKSHMI BHAVISYA TRADERS
464,APANDLM09,MAHABOOB TRADERS
465,APANDLM10,M S TRADERS
466,APANDLM11,MAHABOOB STEELS
467,APANDLP02,PAVAN TRADERS
468,APANDLS42,SANDYA SEEDS & PESTICIDES
469,APANDLS49,SREE MARUTHI AGENCIES
470,APANDLS55,SAI RANGANATHA STEELS PRIVATE LIMITED
471,APANDLS56,SRI ANANTH TRADERS
472,APANDLS62,SRI NARASIMHA TRADERS
473,APANDLS64,SRI BALAJI TRADERS
474,APANDLS66,SRI GURU RAGHAVENDRA IRON MART
475,APANDLS68,SAI BALAJI ENTERPRISES
476,APANDLS69,SAI CHARAN ENTERPRISES
477,APANDLS70,SHRI SAPTHAGIRI STEELS AND CEMENTS
478,APANDLV05,M/S VENKATESWARA HARDWARE
479,APKUDLB03,BABU TRADERS
480,APKUDLB06,B VENKATESWAR REDDY
481,APKUDLH04,HAKEEM TRADERS
482,APKUDLJ02,JOGULAMBA AGENCIES
483,APKUDLK06,K G N TRADERS
484,APKUDLK07,K V R AGENCIES
485,APKUDLM02,MAHAVEER IRON MART
486,APKUDLM10,MANJUNATHA TRADERS
487,APKUDLM11,M R CEMENT & STEEL TRADERS
488,APKUDLS23,SIVA AGENCIES - VELGODE
489,APKUDLS45,SAMEER TRADERS
490,APKUDLS46,SREE GANESH TRADERS
491,APKUDLS50,SSV HARDWARES
492,APKUDLS53,SAHAS AGENCIES
493,APKUDLS56,S K CEMENT AGENCIES
494,APKUDLS58,SREE SAI TRADERS
495,APKUDLV03,VIJAYADURGA TRADERS AND HARDWARES
496,APANDLS01,SRI KESAVA TRADERS
497,APKUDLN02,SRI RANGA AGENCIES
498,APKUDLP07,PRATHAP TRADERS
499,APCHDLH11,HARI ENTERPRISES
500,APCHDLR11,RAMANA REDDY TRADERS
501,APCHDLS32,Sri Venkateswara Fertilizers
